geo_insee;geo_name;year;rrmse;alpha;mu;sigma;d_alpha;d_mu;d_sigma
84;AUVERGNE-RHONE-ALPES;2015-2016;0.45411652020111354;545.9631285308794;173.86997154814782;25.530201922228546;23.029984249205526;1.2323199606529875;1.202918739220293
27;BOURGOGNE-FRANCHE-COMTE;2015-2016;0.7596656833997134;212.7817771041495;190.53438219853672;28.733454132213257;15.870727950759518;2.4728745670819583;2.43969593106624
53;BRETAGNE;2015-2016;0.5578031745427476;340.52350538764716;169.25902645454022;31.309920471666555;18.779770283214607;1.9334996185955104;1.9309789775968942
24;CENTRE-VAL-DE-LOIRE;2015-2016;0.6852043083936064;552.5194185724148;193.24441265283605;16.170767780902406;33.16802414945291;1.120913971382989;1.120911734413012
94;CORSE;2015-2016;0.6315923016786779;182.48595853553186;167.18340105389927;41.30089286011816;14.727398004988032;3.73633736658569;3.82935681696871
11;ILE-DE-FRANCE;2015-2016;0.33510732767295176;408.7912997646048;176.4774095620446;27.161398134946985;13.80830082384917;1.0497379913062466;1.0260154928971814
76;OCCITANIE;2015-2016;0.4057027861794892;335.3661755948653;171.7506539731723;26.873366582327098;12.69967013813827;1.15612519645094;1.1315998471379864
32;HAUTS-DE-FRANCE;2015-2016;0.5432537515518984;624.9804012123651;193.17443469613292;16.17888372961286;30.460062930065078;0.9105054395268822;0.9105035323911943
28;NORMANDIE;2015-2016;0.7693298092670015;596.5895176964533;192.64995406640656;13.01332188678509;39.79878759158451;1.0024247183034534;1.0024247133425863
52;PAYS-DE-LA-LOIRE;2015-2016;0.6639869860997991;453.41235037628593;187.18594383175088;22.33235735773816;27.10603688314145;1.5422884981315945;1.536102956449404
93;PROVENCE-ALPES-COTE-D-AZUR;2015-2016;0.5985526620591097;456.33857599134217;177.7794019344998;29.736814096073036;26.483740690135768;1.9669014099957538;1.9274041563017492
44;GRAND EST;2016-2017;0.40410129638977316;360.42821816859765;135.13219018888464;21.082860225023065;12.276692577027744;0.8292042039060278;0.8292042062422309
75;NOUVELLE-AQUITAINE;2016-2017;0.2910188339599373;325.365658189609;137.33076871345045;22.464299730938666;8.351898497817418;0.6658489986108701;0.665848997661089
84;AUVERGNE-RHONE-ALPES;2016-2017;0.36237454442287836;585.9258763614986;125.36798242425525;19.040439306289628;17.526823560201155;0.6576682420981059;0.6576682426471481
27;BOURGOGNE-FRANCHE-COMTE;2016-2017;0.586858174139345;413.3318858226354;122.23005236889861;18.434978476708206;20.72716753706733;1.0674635480762928;1.0674635485347532
53;BRETAGNE;2016-2017;0.6159681420145037;258.11342142625796;128.7663409754296;26.108928584267677;16.565938864166757;1.9349238870068957;1.9349238912620876
24;CENTRE-VAL-DE-LOIRE;2016-2017;0.5057211920359347;420.3439485394182;139.04040118266275;16.71898525224258;16.57900492642193;0.7614351908199335;0.7614351896631276
94;CORSE;2016-2017;0.4063819594578198;401.29911877821297;132.19047332450646;20.263489933850458;14.547595304444888;0.848216311162225;0.8482163132450765
11;ILE-DE-FRANCE;2016-2017;0.4152260357613339;395.9760555348052;131.97254360728752;19.288309337990786;14.259743328908636;0.802058997678165;0.8020590011315663
76;OCCITANIE;2016-2017;0.3442059909916461;523.2701696040353;133.87435115484274;17.407762927224574;13.930623438224545;0.5351270555077808;0.5351270532080132
32;HAUTS-DE-FRANCE;2016-2017;0.5899047585852395;367.1201783023244;136.1187125216449;20.950283528622137;18.7362094294876;1.234618415328061;1.2346184175832884
28;NORMANDIE;2016-2017;0.4356925841366313;406.7679658646195;135.1549932762079;19.95482161553989;14.414320981532553;0.816515937459401;0.8165159362819499
52;PAYS-DE-LA-LOIRE;2016-2017;0.9176122141432232;377.63921231033237;140.84525107689578;19.687183680630422;28.010869803410685;1.6861743414287738;1.6861743368617983
93;PROVENCE-ALPES-COTE-D-AZUR;2016-2017;0.29660485314795754;681.1806510869116;133.80123074145368;18.999829321239535;16.42486141903416;0.5290034232413412;0.5290034243776683
44;GRAND EST;2017-2018;0.3550947207610179;342.99674468564194;151.6359554259991;33.893633532420125;12.3168398275326;1.405389787180832;1.4053898093061445
75;NOUVELLE-AQUITAINE;2017-2018;0.7318770608623645;301.7577440403924;131.32625171939918;30.96194492470268;22.920265771829428;2.715556335939075;2.7155566541181932
84;AUVERGNE-RHONE-ALPES;2017-2018;0.537619895463494;422.82778434207717;134.8215514443168;27.9612197299523;22.53612525895264;1.7208428518043497;1.7208428578238975
27;BOURGOGNE-FRANCHE-COMTE;2017-2018;0.5060572537057731;282.05212794727083;136.0373863620146;20.066881242278725;13.59601899860773;1.1169445994642382;1.116944602476775
53;BRETAGNE;2017-2018;0.587290238463004;281.69919387888484;131.3670729714391;35.87604726854646;20.745595612376466;3.0507965684685114;3.0508266105369453
24;CENTRE-VAL-DE-LOIRE;2017-2018;0.5942655387209523;270.9912310507466;132.60394884567808;30.77907812856024;16.078270843273803;2.108672201706402;2.108672348498177
94;CORSE;2017-2018;0.44801509957324526;313.8564689983141;155.2106106898678;25.536912069415745;13.730661646588496;1.2900250150188977;1.2900250178803039
11;ILE-DE-FRANCE;2017-2018;0.6889688333914049;314.41780501329214;121.85712035795919;24.52804433495163;22.571511887113456;2.033226739521741;2.033226734933722
76;OCCITANIE;2017-2018;0.5419592282149711;328.18320852104904;133.8375688136295;26.356385790222557;16.497198008857684;1.5298507220136877;1.5298507218290713
32;HAUTS-DE-FRANCE;2017-2018;0.47777009159640244;373.0129074023813;147.82649329868676;33.10759773922594;17.744442010634604;1.8185930393429477;1.8185930783118058
28;NORMANDIE;2017-2018;0.46868434762951733;342.51777661069707;146.8422293924288;35.9760150765965;16.318101817953178;1.979105273053589;1.979106222284295
